,importance
F3_gc_score,0.02100468923805778
F3_tm_score,0.14704103167263535
F3_delta_g_score,0.002637978501393912
F3_hairpin_score,0.006826197063369846
F2_gc_score,0.017273506683545457
F2_tm_score,0.10590528377720375
F2_delta_g_score,0.00924741169226939
F2_hairpin_score,0.0039912077749755265
F1_gc_score,0.013133628111554328
F1_tm_score,0.17259327712830164
F1_delta_g_score,0.0037879309393583672
F1_hairpin_score,0.005144960395624033
B1_gc_score,0.017914877918188604
B1_tm_score,0.09976104559169219
B1_delta_g_score,0.004148602319814814
B1_hairpin_score,0.00851507496758063
B2_gc_score,0.013692466759238813
B2_tm_score,0.06934436862512298
B2_delta_g_score,0.0057450732410195
B2_hairpin_score,0.0031767910171758428
B3_gc_score,0.01778363391502484
B3_tm_score,0.11474554777324332
B3_delta_g_score,0.0035086344059432817
B3_hairpin_score,0.004509899228550966
distance_score,0.11544448145365464
dimer_score,0.013122399805460127
